run,learning_rate,gamma,n_steps,ent_coef,vf_coef,max_grad_norm,gae_lambda,mean_reward,std_reward
1,0.0007,0.99,5,0.0,0.5,0.5,1.0,224.65,179.055
2,0.0003,0.99,5,0.01,0.5,0.5,1.0,274.275,159.023
3,0.0007,0.99,10,0.0,0.5,0.5,0.95,248.425,151.921
4,0.0007,0.95,5,0.0,0.5,0.5,1.0,203.0,216.929
5,0.001,0.99,5,0.0,0.5,0.5,1.0,254.0,262.965
6,0.0007,0.99,20,0.01,0.5,0.5,0.95,154.275,340.902
7,0.0007,0.99,5,0.0,1.0,0.5,1.0,20.85,214.35
8,0.0005,0.99,5,0.05,0.5,1.0,1.0,207.175,201.671
9,0.0007,0.99,5,0.0,0.25,0.5,1.0,265.875,153.243
10,0.0002,0.97,10,0.01,0.5,0.5,0.98,225.85,260.38
